family,support_regime,method,pooled_r2,pooled_nrmse,median_entity_nrmse
thermodynamic_chart,standard_11,direct_target_omp_lambda_0.0,0.9999729894765124,0.005197164947126499,0.015660283600182172
thermodynamic_chart,standard_11,fpca,0.9999747117612241,0.005028741271520226,0.014879401891918671
thermodynamic_chart,standard_11,gird_adam_lambda_0.0,0.9999729723439348,0.005198812947706954,0.015669767570003258
thermodynamic_chart,standard_11,gird_adam_lambda_0.1,0.999971021972982,0.005383124280379159,0.016287453867061184
thermodynamic_chart,standard_11,gird_adam_lambda_inf,0.9997447556091653,0.015976369763956482,0.04671841072560306
thermodynamic_chart,standard_11,gird_adam_selected,0.999971021972982,0.005383124280379159,0.016287453867061184
thermodynamic_chart,standard_11,gird_gn_lambda_0.0,0.9999729723439348,0.005198812947706954,0.015669767570003258
thermodynamic_chart,standard_11,gird_gn_lambda_0.01,0.9999728432173889,0.005211216999047138,0.015677769434963115
thermodynamic_chart,standard_11,gird_gn_lambda_0.1,0.9999727677545931,0.0052184523957736146,0.015739876202556808
thermodynamic_chart,standard_11,gird_gn_lambda_1.0,0.9999560846562596,0.006626865302718545,0.016967241715980845
thermodynamic_chart,standard_11,gird_gn_lambda_inf,0.9999198739291688,0.008951316709358193,0.02093586754417362
thermodynamic_chart,standard_11,gird_gn_selected,0.9999729511515073,0.005200850747014126,0.015618208504329361
thermodynamic_chart,standard_11,global_no_q,-0.11150915806365536,1.054281346730395,2.674144739950812
thermodynamic_chart,standard_11,ordinary_symbolic_regression,0.9999726019813606,0.005234311668150736,0.015868900023946392
thermodynamic_chart,standard_11,raw_q,0.9944891358920553,0.07423519453698949,0.0909828209644589
thermodynamic_chart,standard_11,support_only_omp_lambda_0.0,0.9999729723439348,0.005198812947706954,0.015669767570003258
thermodynamic_chart,standard_11,true_basis_lambda_0.0,0.9999759115079667,0.004908002855879916,0.014788451677119726
thermodynamic_chart,standard_11,true_basis_lambda_1.0,0.9999718059143409,0.005309810322329133,0.01661708102983276
thermodynamic_chart,standard_11,true_basis_lambda_inf,0.9999526932260898,0.006877991996952583,0.017294864730224263
