fold,label,offset,physical_intercept,physical_linear_temperature,physical_quadratic_temperature
1,1046,3,-0.30235685453219496,0.0013809210034560222,-2.41725151265063e-07
1,2121,0,-0.2840184796402995,0.0008933262562501681,2.1377047508698247e-07
1,2121,1,-0.29380672125498697,0.0009206304186384737,1.9414123495671322e-07
1,2121,2,-0.2650539561762729,0.0007966867898097746,3.170849033808756e-07
1,2121,3,-0.30135424343481526,0.0009336214182900325,1.9660499846428036e-07
1,3888,0,-0.015504949484995173,4.784977641059465e-05,1.8868824191751539e-06
1,3888,1,-0.02756483978714558,0.00014325625225569856,1.733604734547238e-06
1,3888,2,-0.015791719580866365,4.1359518838438285e-05,1.9155096599589803e-06
1,3888,3,-0.023235628872767894,9.221303820607357e-05,1.8371467970656052e-06
1,6363,0,0.4020524343703271,0.005630044553429971,-1.5212006033068404e-05
1,6363,1,0.3987196607431265,0.005726336312147688,-1.593637185326945e-05
1,6363,2,0.41673688746679804,0.005335915998727351,-1.4301067304334305e-05
1,6363,3,0.3958135348007257,0.005918357646110591,-1.757438610932623e-05
1,7377,0,-3.703052878859317e-05,-4.933389907509913e-06,2.8535583805518637e-07
1,7377,1,3.06342775477815e-05,-5.226195708171993e-06,2.8496323786812144e-07
1,7377,2,7.38787964812207e-05,-7.064689827923827e-06,2.926171225724483e-07
1,7377,3,1.841573395139698e-05,-5.846964671812779e-06,2.8850028639777827e-07
1,8057,0,0.11528832171945003,-0.0028807711273482646,1.568905633226589e-05
1,8057,1,0.13652788344544553,-0.00308063904805828,1.6095688087559818e-05
1,8057,2,0.14276334548012226,-0.003073270087512345,1.5952892273032864e-05
1,8057,3,0.14347033643551588,-0.0030080343552963606,1.564336839550471e-05
1,11399,0,0.0023316279389507914,-6.983935942599117e-05,3.59278473762503e-07
1,11399,1,0.002893541393187371,-7.902460786491148e-05,3.8670634467773433e-07
1,11399,2,0.0036270431380650003,-9.144686233982131e-05,4.292730099032838e-07
1,11399,3,0.004615838826505042,-0.00010727349329860868,4.79159818984082e-07
1,12139,0,0.0012686124324686465,-3.324501779611289e-05,9.824086636606653e-07
1,12139,1,0.0015762228934785294,-4.2860516707263164e-05,1.005174942909505e-06
1,12139,2,0.002129231112695182,-4.967305997243096e-05,1.0253241876067112e-06
1,12139,3,0.0005267242791207188,-2.41630178806618e-05,9.573503796930746e-07
1,13713,0,0.00030168260490658983,-6.83417078820495e-06,3.721003635992098e-08
1,13713,1,-0.00016596321525763177,4.939470211955854e-06,-2.2142904555688768e-09
1,13713,2,-1.2892998254728064e-05,8.585032959653699e-07,2.7776857769961316e-09
1,13713,3,3.6442658124997886e-05,-1.795056197144825e-06,2.973590925140425e-08
1,15433,0,-0.21055890231348973,0.00110858236584686,-6.942426177637216e-07
1,15433,1,-0.20135417702271605,0.0010609882208078628,-6.362930185694092e-07
1,15433,2,-0.19338035399277428,0.0010204805625711347,-5.870515747126678e-07
1,15433,3,-0.18452158980063912,0.0009762962352395917,-5.343145894974413e-07
1,17209,0,0.0076644709042835435,-0.00028660341553415523,1.8695601266353199e-06
1,17209,1,0.008702075702446493,-0.00030383632110351556,1.9456921117063867e-06
1,17209,2,0.009630269940333724,-0.00031651938112642753,1.990558158903025e-06
1,17209,3,0.011267730745724014,-0.00032713639560030415,1.9659733046146787e-06
1,19424,0,-0.00025786322236252563,1.8866713305306523e-05,-8.09601848731523e-08
